"coefficient","Author"
-1.94364065301232,"Victor de Stuers"
-1.79234010700205,"W.F.R. Suringar"
-1.77097646230753,"Michaël Wilhelm Scheltema"
-1.74290502189696,"Charles Boissevain"
-1.6666097843719,"Hendrik Hooyer"
-1.58550521606496,"H.L. Berckenhoff"
-1.55213481093242,"Frans Netscher"
-1.53563681225463,"J. Aleida Nijland"
-1.52701163846566,"H. van Cappelle"
-1.47967446269422,"F.A.F.C. Went"
-1.47253331294879,"Virginie Loveling"
-1.46436137282323,"Philippe Zilcken"
-1.46280586200525,"Geert Berings"
-1.4516597617794,"D.C. Meijer"
-1.4393873445599,"Robert Macalester Loup"
-1.43176456166137,"Maurits Wagenvoort"
-1.42875561739338,"Carel van Nievelt"
-1.39014037245422,"J. Limburg"
-1.36447473673544,"Willem Pieter Cornelis Knuttel"
-1.35384548542243,"J.T. Buys"
-1.33442680251237,"Jan Willem Nicolaas Mosselmans"
-1.31296852332473,"Anthony Ewoud Jan Modderman"
-1.29371348806084,"C.C. Huysmans"
-1.27903574575349,"J.E. Sachse"
-1.27017151952011,"A.E. Croockewit"
-1.22748387598363,"Anton Gillis Cornelis van Duyl"
-1.21472598944189,"Abraham Bredius"
-1.20600483627766,"Peter van Os"
-1.20254653100883,"Carry van Bruggen"
-1.18454433242619,"L. de Hartog"
-1.16828756595202,"Richard Roland Holst"
-1.16317687519619,"Hugo Beyerman"
-1.14182766964483,"H. van de Stadt"
-1.12032786243203,"Constantijn"
-1.12032738857285,"P.A. Tiele"
-1.10079247477937,"Halbe Binnerts"
-1.09898049401148,"A.C. Loffelt"
-1.09321057286513,"Jules Persyn"
-1.05617484441631,"Frederik Christiaan de Brieder"
-1.05617435845654,"C.M. Vos"
-1.0561738726271,"Adrianus Daniel de Vries"
-1.04364146177008,"J.C.G. Grasé"
-1.03226216455747,"C. Honigh"
-1.01333478936158,"E.O. Houtsma"
-0.997360002361946,"E.J. Potgieter"
-0.995828450249029,"A.A. van Rijnbach"
-0.991996051372454,"H.G. Roodhuyzen"
-0.979437042452225,"Elizabeth Visser"
-0.970510772971636,"Anne Busken Huet-van der Tholl"
-0.965212856878335,"Tobias van Westrheene Wzn"
-0.961503387134626,"Simon Vestdijk"
-0.958433722928779,"Adriaan J. Barnouw"
-0.958082381385385,"Ida Heijermans"
-0.936724295361697,"Dirk van Minden"
-0.927706638997622,"Tijs Terwey"
-0.908422655221907,"Frank Baur"
-0.907913778227933,"Reinier van der Meulen Rz."
-0.906694297840153,"G.F.E. Gonggrijp"
-0.906309422540915,"Willem Pleyte"
-0.904561404354681,"H. Coppieters"
-0.893992199704856,"Margaretha Meijboom"
-0.893838841940695,"Lodewijk Dosfel"
-0.884889274530461,"C. Terburch"
-0.884888810405579,"J.C. Loman jr."
-0.872508314765747,"H.U. Meyboom"
-0.861979808327383,"Alfons Fierens"
-0.843047897164301,"S.G. de Vries"
-0.842317430287524,"Jakob Karel Willem Quarles van Ufford"
-0.8420840857481,"Lodewijk Mulder"
-0.829668931632569,"A.O. van Kerkwijk"
-0.829667464475865,"Camille Poupeye"
-0.8163760417159,"Ina Boudier-Bakker"
-0.808376724118007,"C. van Malten"
-0.801424686572675,"C.H. de Ronde"
-0.799285637775221,"Willem Jacob Manssen"
-0.777899884700869,"J.J.A.A. Frantzen"
-0.766387420201385,"Johan de Meester"
-0.744233053181295,"M.H. van Campen"
-0.742691362424949,"Henricus Anastasius Viotta"
-0.741344676360053,"Jan Engelman"
-0.73507863472238,"W. Jaeger"
-0.713713908960265,"Wolfgang Brandt"
-0.701799678962126,"Johannes van der Elst"
-0.701300694265109,"S.A. Krijn"
