"coefficient","Author"
-1.41965194040915,"L.C. Michels"
-1.35038551695378,"Max Lamberty"
-1.32988508800194,"Ernest Claes"
-1.26527595257063,"Willem Elsschot"
-1.23874397087269,"Ph.J. Simons"
-1.21391000860043,"P.J. Cosijn"
-1.19216608251126,"Leo Meert"
-1.17833000747194,"Juul Filliaert"
-1.17243817365735,"Constant Eeckels"
-1.13618608420955,"Lode Zielens"
-1.13156939555685,"Edgard de Bruyne"
-1.11247473132693,"W. Vanbeselaere"
-1.09471024859505,"Cd. Busken Huet"
-1.08614528155053,"Roger Pieters"
-1.07495754662991,"W.L. Brugsma"
-1.06023435300841,"A. Rientjes"
-1.05851168004155,"Frans Boenders"
-1.04929734486177,"Alstein"
-1.04074928436975,"F. Jansonius"
-1.02846794779131,"Isaac Arnold Lamping"
-1.02561707384012,"Maarten Doorman"
-1.02151675252555,"Victor de Stuers"
-1.02101427639374,"Piet Meeuse"
-1.01575314201936,"Wil Rouleaux"
-1.01246447542601,"Arjen Mulder"
-1.00861099724559,"A.C. Loffelt"
-1.00381806573251,"Claude van de Berge"
-1.00265464287758,"David van Hoogstraten"
-0.994712911246662,"C. Terburch"
-0.984787163626578,"A.J. Immink"
-0.980966481142277,"Louisa Duykers"
-0.98081483672781,"S.J. Warren"
-0.965927191812639,"Jacob Samuel Speyer"
-0.964941603267201,"Jan Six"
-0.951034104352258,"J.F. van Olmhof"
-0.950049938760537,"H.A. Lorentz"
-0.950043870723154,"G.J. Boekenoogen"
-0.939122194175072,"Herman Poort"
-0.933166345109005,"K.C. Boxman-Winkler"
-0.925225603780884,"Lodewijk van Eyck"
-0.925225600759056,"J.W. Muller"
-0.910336235681347,"Alie Smeding"
-0.90735865785056,"Jan Engelman"
-0.907358276680185,"C.M. Hamaker Sr."
-0.899433411895334,"Gerard van Eckeren"
-0.894455240858332,"J.B. Manger"
-0.869641452826507,"Jaap Das"
-0.869166155285544,"Garmt Stuiveling"
-0.863686863322923,"W. Kramer"
-0.860708768430015,"F.W.N. Hugenholtz"
-0.853761238990681,"F. van der Kooy"
-0.850784338685017,"J.J. Mak"
