"coefficient","Author"
-3.11480382614298,"D.J. Coster"
-2.87158622585405,"Theodoor Carel Gobée"
-2.82524586056975,"Arnold Werumeus Buning"
-2.7560604922927,"D.G. Jelgersma"
-2.67711693255872,"Gerard Keller"
-2.67649764992591,"Marie Snijder van Wissenkerke"
-2.6620965270848,"J.A. Simons-Mees"
-2.62794329355009,"Herman Heijermans"
-2.61457796199702,"J. Prinsen J.Lzn"
-2.60719615295722,"C.H. den Hertog"
-2.39753708138808,"Johanna A. Wolters"
-2.38356217820927,"Henri Dekking"
-2.37297799004868,"Henri Borel"
-2.31476492038801,"G.H. Priem"
-2.26249589092847,"Frits Lapidoth"
-2.25483499646078,"Jan L. Walch"
-2.25411816426479,"Leo van Puyvelde"
-2.17559699067599,"Bé Stolk"
-2.06108635025276,"Israël Querido"
-2.04955672917912,"Jan Koopmans"
-2.01315331001819,"J.E. Jasper"
-1.99698571040732,"Ph.J. Simons"
-1.98804283126237,"Ina Boudier-Bakker"
-1.9562469663379,"Just Havelaar"
-1.92740670607938,"Cyriel Verschaeve"
-1.92248526061463,"Gerard Slothouwer"
-1.89735849040939,"Henricus"
-1.81195453918644,"E. Vliebergh"
-1.80354151159539,"Sam Goudsmit"
-1.75352025929773,"Annie Salomons"
-1.72106014446811,"Emiel Jan Janssen"
-1.71942703804713,"Henriette Barbe"
-1.71209291587254,"W.K. van Dedem"
-1.67853955398138,"Jan Fabricius"
-1.62888579573871,"Joseph Bittremieux"
-1.60686405512789,"H. Kern"
-1.58438201179983,"C. Bakker"
-1.57548337075428,"F.C. Dominicus"
-1.51748753070409,"F. de Sinclair"
-1.51152595098237,"Willem Nieuwenhuis"
-1.48649477401931,"Top Naeff"
-1.46660756420187,"Jan Kornelis de Cock"
-1.46660744808484,"Ed. Loos"
-1.46660733193537,"Adolf Rutten"
-1.45422864858928,"E.H. Teissen"
-1.44502516564343,"E. van Dievoet"
-1.43155938938375,"G.F. Haspels"
-1.40584223019145,"Max Lamberty"
-1.39971420644953,"J.E. Sachse"
-1.39646347058381,"W. de Vletter"
-1.39646335839311,"M.J. Brusse"
-1.35782223995004,"Jozef van Mierlo"
-1.34105666627766,"Taï Aagen-Moro"
-1.33211314107734,"Willem Arnold Pieter Pistorius"
-1.32638984237213,"Suze La Chapelle-Roobol"
-1.32638285053808,"Johannes van Well"
-1.32638275888228,"A.W. Sanders van Loo"
-1.29128790162773,"Willem Frederik Schürmann"
-1.27960250633316,"Maurits van Hoeck"
-1.26947185964216,"Lodewijk Dosfel"
-1.25621301454402,"Is. van Dijk"
-1.2266886459926,"J. Slauerhoff"
-1.22112530751046,"K. Veenenbos"
-1.221125210133,"E.H.Hendrik de Vis"
-1.20504455806503,"Johan Daisne"
-1.18606135752819,"J.J. Salverda de Grave"
-1.18606126460558,"Henri van Booven"
-1.18606039155181,"Edward B. Koster"
-1.17572544031652,"Piet van Aken"
-1.17310912600719,"R.A. Kollewijn"
-1.16726037058622,"P. Morlion"
-1.15101651044226,"J.H. Kern"
-1.15101642717777,"J.M. Hoogvliet"
-1.15101634389007,"J.F. van Olmhof"
-1.15101587469748,"Jozef Arras"
-1.12676587747243,"Herman de Man"
-1.12243740675822,"C.B. van Haeringen"
-1.11595330406989,"Jac. van Ginneken"
-1.11595048379712,"Jos Pierreux"
-1.08088939024067,"C. Kramer"
-1.08088489570151,"Frans Mijnssen"
-1.05681105182733,"Annie Romein-Verschoor"
-1.05148123338147,"J. Donceel"
-1.04284906620625,"Jan Hammenecker"
-1.04117902451609,"Carry van Bruggen"
-1.01161135904532,"Karel Jonckheere"
-1.01074003583285,"J.H. Deibel"
-1.01073996207237,"Johannes van der Elst"
-1.00633075737325,"J.L. Pauwels"
-0.992492606756735,"Marcel Lobet"
-0.992080950181084,"Joris Eeckhout"
-0.975681951073902,"R. Wijkman"
-0.975681882914871,"D. Haagman"
-0.975681814736975,"Charles René Bakhuizen van den Brink"
-0.94061374472649,"H.E.H. van Loon"
-0.940613679363049,"Amélie de Man"
-0.940613613981606,"Louis Carbin"
-0.930378885603944,"Jacob Haantjes"
-0.905546017141768,"Kornelis Sneyders de Vogel"
-0.900073639548709,"H.J. Schimmel"
-0.895486155948603,"J.F. Vanderheyden"
-0.895484807291651,"Andries Morlion"
-0.894758041512959,"Pierre-Henri Simon"
-0.870518756130965,"J.A.N. Knuttel"
-0.870518705808018,"F. Schmidt-Degener"
-0.870518655470872,"Job Steynen"
-0.869940804872772,"C.G.N. de Vooys"
-0.854722000258958,"Jan Vercammen"
-0.835391455415529,"Lodewijk De Wolf"
-0.813469060354957,"Marie Metz-Koning"
-0.810550385329825,"F. Bordewijk"
