"coefficient","Author"
-0.0110747376700939,"_year"
0,"G. Geerts"
0,"Bert Vanheste"
0,"Paul Claes"
0,"C.G.N. de Vooys"
0,"T.H. Thung"
0,"Menno ter Braak"
0,"Simon Vestdijk"
0,"Lieven Rens"
0,"Martien J.G. de Jong"
0,"F. Lulofs"
0,"Anton van Duinkerken"
0,"Christel van Boheemen-Saaf"
0,"W. Waterschoot"
0,"Johan Goudsblom"
0,"Joris Note"
0,"A. de Guchteneere"
0,"H.J. Polak"
0,"Johan Carl Zimmerman"
0,"NA"
0,"A. Kessen"
0,"A.H. de Groot"
0,"Jan Romein"
0,"A. Viruly"
0,"J.J.A. Mooij"
0,"B.J. Hoff"
0,"J.N. van Hall"
0,"Frederik van Eeden"
0,"J.S. van Veen"
0,"Marc de Kesel"
0,"Robert Fruin"
0,"R.C. Boer"
0,"Jan Siemons"
0,"Nop Maas"
0,"Joos Florquin"
0,"J. Verdam"
0,"Paul Lebeau"
0,"Hugo Brems"
0,"Arthur van Schendel"
0,"Hendrik Jacob van der Heim"
0,"Jan Ploeger"
0,"Ev. Grolle"
0,"Leo Simons"
0,"E.B. Kielstra"
0,"Arthur J.H. Cornette"
0,"Philippe Joseph Aimé van Isacker"
0,"E. Vliebergh"
0,"Hilbert Kuik"
0,"Laurens van Krevelen"
0,"B.G.J. de Graaff"
0,"W. Drop"
0,"Marijke Meijer Drees"
0,"L. de Hartog"
0,"N.J. Singels"
0,"Jan Stuyt"
0,"W.H. Hasselbach"
0,"Abraham Dirk Loman"
0,"A.A. Keersmaekers"
0,"N. van Wijk"
0,"Pieter Nicolaas Muller"
0,"Wouter Donath Tieges"
0,"Herman Meyer"
0,"Th. de Meester"
0,"Jaap Kruithof"
0,"P.A.S. van Limburg Brouwer"
0,"H.P. van Karnebeek"
0,"Georges Wildemeersch"
0,"Huub Beurskens"
0,"Anton Gerard van Hamel"
0,"Cyrille Offermans"
0,"Johan Brouwer"
0,"Herman de Lange"
0,"Cornelis Bellaar Spruyt"
0,"J.H. Leopold"
0,"G. Kalff"
0,"A.M. de Jong"
0,"Gerrit Krol"
0,"Raymond Brulez"
0,"C.P. Tiele"
0,"A.C. Loffelt"
0,"Margrit de Sablonière"
0,"L.M.A. von Schmid"
0,"Louis de Bourbon"
0,"Corneille L. Landré"
0,"Jean-Marie Maes"
0,"Cd. Busken Huet"
0,"Mea Verwey"
0,"J.J. Mak"
0,"O.J.H. van Limburg Stirum"
0,"J.J.M. Bakker"
0,"Ch.F. Haje"
0,"Janito Benavente y Martinez"
0,"P.J. Veth"
0,"J.C.M. Warnsinck"
0,"M. Rutten"
0,"M.M. von Baumhauer"
0,"R. Goris"
0,"Bart Vervaeck"
0,"Arie-Jan Gelderblom"
0,"H.T. Colenbrander"
0,"E.J. Vandenbussche"
0,"Jef Scheirs"
0,"Mon Steyaert"
0,"W.J. Verdenius"
0,"J.J. Salverda de Grave"
0,"S. Dresden"
0,"Joseph Feskens"
0,"Hubert Lampo"
0,"Maarten Klein"
0,"P. Lascaris"
0,"W.J. van de Woestijne"
0,"Nikolaas Gerard Pierson"
0,"J. van Marle"
0,"J.J. Bekaar"
0,"Etsko Kruisinga"
0,"H.G. van Bueren"
0,"H.L. Berckenhoff"
0,"Gerlach Royen"
0,"G.P.M. Knuvelder"
0,"Diederik Grit"
0,"B. Hunningher"
0,"Ineke Bulte"
0,"J. Weisgerber"
0,"J.J.B. Elzinga"
0,"Jacqueline Frijn"
0,"J.C. Opstelten"
0,"J.H. van den Bosch"
0,"P.L. van Eck jr."
0,"André Demedts"
0,"Isaac Arnold Lamping"
0,"István Bejczy"
0,"Pascal Tasiaux"
0,"M.A. Schenkeveld-van der Dussen"
0,"H.K. s' Jacob"
0,"F. Adama van Scheltema"
0,"August Corbet"
0,"Ina Boudier-Bakker"
0,"A.W. Sanders van Loo"
0,"Emiel Willekens"
0,"P. Geyl"
0,"Jan Willem Klein"
0,"H.U. Meyboom"
0,"F.A.F.C. Went"
0,"Klaas Iwema"
0,"I. Kooistra"
0,"Ernst Julius Kiehl"
0,"Frits Staal"
0,"R.P. Mees Azn."
0,"Jan Greshoff"
0,"Ton Korver"
0,"P.C. Paardekooper"
0,"H.P.G. Quack"
0,"Maarten Steenmeijer"
0,"Fr. Nooyens"
0,"R.P.A. Dozy"
0,"Antoon Thiry"
0,"E.J. Potgieter"
0,"F. Jansonius"
0,"L.P.H. Eykman"
0,"J.H. Scholte"
0,"E.C. van Dorp"
0,"Wiel Kusters"
0,"Jan Pluvier"
0,"Wilbert Smulders"
0,"D.A. de Graaf"
0,"Joan Karel Hendrik de Roo van Alderwerelt"
0,"Ewaldus Daniël Pijzel"
0,"Samuel Adrianus Naber"
0,"H. Vandermoere"
0,"Arie Rip"
0,"Jan Koopmans"
0,"Julien Vandiest"
0,"M.J. Kloeke-van Lessen"
0,"Cor van Bree"
0,"Joh. Dyserinck"
0,"Jérome Alexandre Sillem"
0,"Ad Foolen"
0,"J. Kamerbeek jr."
0,"Marcel Minnaert"
0,"J.A.A. van Doorn"
0,"Willem Nolet"
0,"M. Stapert-Eggen"
0,"G.G. Kloeke"
0,"Willem Ernst Johan Berg"
0,"W.M.H. Hummelen"
0,"J.A. Verschoor"
0,"J.C. Brandt Corstius"
0,"Oskar van der Hallen"
0,"Tobias Michael Carel Asser"
0,"L. Delwaide"
0,"P.J. van Winter"
0,"Piet van Aken"
0,"Fred Weerman"
0,"Raymond Corbey"
0,"B. van den Berg"
0,"Aleksej Hackel"
0,"Max Rooses"
0,"Carel Adriaan Engelbregt"
0,"Maurits de Meyer"
0,"Anton Blok"
0,"W.M.F. Mansvelt"
0,"P.J.H. Vermeeren"
0,"Ch.M. van Deventer"
0,"R.F. Beerling"
0,"J.C. Hess"
0,"O. Hammerstein"
0,"Jozef Muls"
0,"R. Hoetink"
0,"B.M. Telders"
0,"J.W.F. Werumeus Buning"
0,"T.J. Stieltjes"
0,"Tessel Pollmann"
0,"Jan Veth"
0,"Teun Hoekstra"
0,"Daniel Koorders"
0,"Alfred Pijpers"
0,"Lies Wesseling"
0,"P.H.G. van Gilse"
0,"Johan Kerstens"
0,"Martinus Leopold"
0,"L.M. Heemskerk"
0,"Conrad Th. van Deventer"
0,"Ph.J. Simons"
0,"J.D.P. Warners"
0,"Ivan Illich"
0,"Alfred Kossmann"
0,"Ina Schermer-Vermeer"
0,"Jacob Samuel Speyer"
0,"Fred Batten"
0,"J.H. Groenewegen"
0,"Leo Ross"
0,"Maria Gerarda"
0,"M. Hanot"
0,"L. Strengholt"
0,"H.M. Eliassen-de Kat"
0,"Alfred M.M. Dekker"
0,"Jacob Hendrik Hora Siccama"
0,"N.J. den Tex"
0,"S.G. de Vries"
0,"Fred Polak"
0,"W.Gs Hellinga"
