"coefficient","Author"
-0.58034753573501,"Louis Susan Pedro Meyboom"
-0.553801049433882,"E.J. Potgieter"
-0.540569719188825,"Jan Pieter Heije"
-0.540528766449689,"Herman Agatho des Amorie van der Hoeven"
-0.536643836881144,"Samuel van Houten"
-0.532776643492695,"Tiberius Cornelius Winkler"
-0.532776642877374,"Jan Luzac"
-0.532776597810358,"Piet van Os"
-0.528968583847672,"Albert Hendrik Arnoldus Ekker"
-0.528926716708198,"H.W. Schroeder van der Kolk"
-0.528926716225418,"Hendrik Adriaan Antonius van Berckel"
-0.528926544863563,"B.J. Stokvis"
-0.525095277436042,"H. van der Hoeven"
-0.525095274280733,"Jb. Boeke"
-0.5250952738558,"Johannes Kneppelhout"
-0.519605344414042,"Sytze Hoekstra Bzn."
-0.518835026118603,"Simon Gorter"
-0.517735342918143,"Tobias van Westrheene Wzn"
-0.515857128652943,"Johan Adam Wijnne"
-0.51527336092494,"Eelco Verwijs"
-0.513749340517142,"Peter van Os"
-0.511122137191783,"Samuël Senior Coronel"
-0.509948629006403,"H.T. Karsten"
-0.506336772116282,"L. de Hartog"
-0.506215733710136,"S.M.S. de Ranitz"
-0.49882648606073,"Elise Adelaïde Haighton"
-0.498017822096045,"Willem Arnold Pieter Pistorius"
-0.497058285376993,"Cd. Busken Huet"
-0.49517934779387,"J.H.F. Sollewijn Gelpke"
-0.495179094086013,"Annaeus Frederik Eilerts de Haan"
-0.495098704066049,"A.T. Reitsma"
-0.492826684529164,"Pieter Rutger Feith"
-0.491508219933476,"W.A. Reiger"
-0.491468980190756,"Gerardus Petrus Booms"
-0.491428241251472,"Willem Bernard Johannes van Eyk"
-0.491427768337246,"W.C.A. Staring"
-0.489042367540431,"J.T. Buys"
-0.488012836974904,"P.A. Tiele"
-0.487856445384848,"Frederik Christiaan de Brieder"
-0.487816812630672,"L.A.J.W. baron Sloet van de Beele"
-0.487777030320553,"T.J. Stieltjes"
-0.487776873816673,"Michiel Johannes de Goeje"
-0.487776873645549,"Marie Henriëtte Koorders-Boeke"
-0.486304828755724,"Jan ten Brink"
-0.484144745631736,"Carel van Nievelt"
-0.484144215260166,"J. Winkler Prins"
-0.484144215084419,"C.M. Vos"
-0.484144214526525,"Jacob Léon Wertheim"
-0.482962548966131,"Henri Ernest Moltzer"
-0.482846548416979,"Cornelius Marius Kan"
-0.480726134401323,"Jean Charles Naber"
-0.480647334872704,"G. de Bosch Kemper"
-0.48056856288774,"H. van Herwerden"
-0.480568560547126,"Jacob Adolf Bruno Wiselius"
-0.480529186658625,"Emile Habets"
-0.479904569768582,"A.C. Loffelt"
-0.477127532971797,"M. de Ras"
-0.477049141154263,"H.G. Roodhuyzen"
-0.477009577907395,"Frederik van Hogendorp"
-0.476970776680422,"L.R. Koolemans Beynen"
-0.476970397898057,"Albert Jan ten Brink"
-0.476931600885253,"A.C. Waller"
