"coefficient","Author"
-4.41479840545194,"D.E.W. Wolff"
-4.27651006239842,"Abraham Seyne Kok"
-4.22208440762232,"J.E. Sachse"
-4.22192155614713,"J.A.F.L. van Heeckeren"
-4.21312993577606,"Jacobus Izaäk Doedes"
-4.1889121105953,"N.J. Singels"
-4.18144512046808,"Tobias van Westrheene Wzn"
-4.14337890845175,"Carl A.X.G.F. Sicherer"
-4.10302328508143,"Willem baron van Goltstein"
-4.09051261055494,"B.J.H. Ovink"
-4.08520824769147,"H.T. Karsten"
-4.06954895716279,"Maurice Wilmotte"
-4.06935391292872,"Hendrik Pierson"
-4.06407151088922,"Jan Karel baron van Goltstein"
-4.04545315406719,"Jan Carel Matthes"
-4.02711225467962,"P.A. Tiele"
-4.02178037702493,"H. van Cappelle jr."
-4.02177605211058,"H. van Herwerden"
-4.01122458676512,"Pieter Lodewijk Muller"
-4.001223497606,"Herman Uyttersprot"
-3.9795520148182,"Johannes Mulder"
-3.96092891992403,"Henry Riehm"
-3.96042614022141,"Gerard Vissering"
-3.95019646279166,"L.M. Heemskerk"
-3.94901886450735,"H. Lievegoed"
-3.94019079801946,"Samuel Muller Fzn."
-3.93943610494846,"C.W. Opzoomer"
-3.91918189170724,"Gerlach Royen"
-3.91795113995803,"Aart Veder"
-3.91089586948428,"Pieter Gerard van Schermbeek"
-3.90721580386695,"Mon Steyaert"
-3.90183424313349,"F.P.J. Sibmacher Zìjnen"
-3.90183259368166,"P.J.B.C. Robidé van der Aa"
-3.90031312057013,"Jan Frederik Niermeyer"
-3.89646836265961,"W.J.A. de Witt Huberts"
-3.89545435525128,"H. Enno van Gelder"
-3.89529889126208,"J. Mansion"
-3.88538987472619,"E.E. Gewin"
-3.88445439343643,"G.P. Rouffaer"
-3.88031586477999,"Abraham Kuenen"
-3.87917819000035,"J.P. van Rossum"
-3.86782837667922,"R.A.D. Cort van der Linden"
-3.86558364187231,"Jozef de Cock"
-3.86418282859317,"E.J.P. Jorissen"
-3.8641775400455,"W.A. van Rees"
-3.85881104597664,"Piet van Os"
-3.84806180955448,"S.M.S. de Ranitz"
-3.84806018582471,"Hugo Beyerman"
-3.84447690750013,"D. Logeman-van der Willigen"
-3.84267890447337,"W.A. Reiger"
-3.84267806308303,"H. van de Stadt"
-3.84267644307363,"M.C.L. Lotsij"
-3.84136983915501,"Pertinax"
-3.83730574188902,"J. l' Ange Huet"
-3.8373041221997,"Elise Adelaïde Haighton"
-3.83730250302949,"Victor de Stuers"
-3.83696705726514,"C. Pekelharing"
-3.8319262109832,"Joan Karel Hendrik de Roo van Alderwerelt"
-3.83168256876989,"H.J. Westerling"
-3.82117262411006,"F.H. Boogaard"
-3.82117101101097,"N. Donker"
-3.81580107317011,"J. Winkler Prins"
-3.81345687570122,"G.A. van Es"
-3.81073876520818,"P.J. Blok"
-3.81042433786259,"Jacob Adolf Bruno Wiselius"
-3.80810838634522,"Matthée Corneille Valeton"
-3.80503755851035,"M. de Ras"
-3.80270780328955,"Jan van Nijlen"
-3.79965519906161,"M.A.N. Rovers"
-3.79640925891271,"A.G. van Hamel"
-3.79431004417111,"H. Koekebakker"
-3.79238016777185,"Etsko Kruisinga"
-3.78954686792444,"Wobbe de Vries"
-3.77901869529754,"Nine van der Schaaf"
-3.77892685633068,"J.J.L. Duyvendak"
-3.77820541053819,"P.A.M. Boele van Hensbroek"
-3.77393387903376,"W.J.W. Koster"
-3.7736458672717,"A.G.N. Swart"
-3.7728333376484,"Pierre Daniel Chantepie de la Saussaye"
-3.76746581604826,"Lodewijk Mulder"
-3.7674624204297,"Hendrik Wolfgang van der Meij"
-3.76276033156305,"J.J. ten Berge S.J."
-3.74840521065859,"Henk van Kerkwijk"
-3.74728708080705,"P.E. van Renesse"
-3.74057957391792,"H. J. Eymael"
-3.72985716183225,"G.J. Boekenoogen"
-3.72447987322229,"L.W.C. van den Berg"
-3.72447002612824,"Emile Seipgens"
-3.72090740755789,"J.G. van Dillen"
-3.71910532263866,"J.J. van Toorenenbergen"
-3.71910420148,"Willem Duflou"
-3.71845732239644,"Willem Leendertz"
-3.71568223484119,"M.R. Dijkman"
-3.70836306763665,"Jan Willem Gerbrandt van Oordt"
-3.70836085726072,"W.Ph. Scheuer"
-3.70835928017199,"F. Beelaerts van Blokland"
-3.70092292991183,"Victor Spoor"
-3.69762531782557,"D.E. Siegenbeek van Heukelom"
-3.69762044002553,"Paul François Hubrecht"
-3.697618866564,"C.H.Th. Bussemaker"
-3.69761729360658,"W.L.P.A. Molengraaff"
-3.6976157211531,"Egberdina Anna Junius"
-3.69224220785485,"Bas Veth"
-3.68686643628812,"H.R. Offerhaus"
-3.68686532799441,"D. Simons"
-3.68686376131479,"Willem Frederik Andriessen"
-3.68686314508265,"C.A. Worp-Roland Holst"
-3.68402386273001,"Jan Prins"
-3.68400604774247,"A.J. Jansen"
-3.68148404047793,"E. van Hille"
-3.67611828948162,"N. Mansvelt"
-3.6761027394777,"H.C. Rogge"
-3.67610040015941,"Maria Muller-Lulofs"
-3.6707999538798,"M.A. Gooszen"
-3.67074763834572,"J. Eigenhuis"
-3.67037059684936,"Lodewijk Vincent Scheltjens"
-3.66537290138208,"Frans Hulleman"
-3.66535845112582,"Hélène Mercier"
-3.66535787028717,"L.F. de Beaufort"
-3.66535631808311,"Theodoor Bernard van Lelyveld"
-3.66499903505192,"R. Maere"
-3.66291072725238,"Sjoerd Leiker"
-3.66005116270074,"N.P. van den Berg"
-3.66000620221613,"Leo Meert"
-3.65998434678425,"A. Hotz"
-3.6599833623779,"J. de Jager"
-3.65998188614081,"J.W.T. Cohen Stuart"
-3.65471025629314,"J.L. Pauwels"
-3.6546439248516,"Willem Graadt van Roggen"
-3.65461617263374,"H.P. Staal"
-3.65425158855614,"P.L. van Eck jr."
-3.64934893149218,"Jan Messchert van Vollenhove"
-3.64924621423654,"O. Oppermann"
-3.649244670297,"Samuel Pierre l' Honoré Naber"
-3.64887778617418,"P. Petrus M. Janssens"
-3.64887631399123,"O. d' Hose"
-3.64887484229715,"A. Taelman"
-3.64868317802776,"Koen Vermeiren"
-3.64397115676005,"K. Veenenbos"
-3.64393252275547,"H.J. Kiewiet de Jonge"
-3.6418379055373,"Gerrit Kouwenaar"
-3.63855817677883,"P.J.F. du Bois"
-3.63855759425976,"Y.H. Rogge"
-3.63851316973484,"Willem Meijer"
-3.6224387750075,"F. van Gheel Gildemeester"
-3.62241718909418,"Suze la Chapelle-Roobol"
-3.62240901816534,"H.L. de Beaufort"
-3.62240747965378,"N.H. Swellengrebel"
-3.6170335924523,"G.J. Hoogewerff"
-3.61703205723921,"J. Rietema"
-3.61166350704074,"C.J. Hasselman"
-3.6102456903059,"Piet Gerbrandy"
-3.60094984460534,"Charles René Bakhuizen van den Brink"
-3.60093281788357,"Gabriële Violanti"
-3.60092550455404,"J.P. Kuenen"
-3.60092397471562,"H.P.N. Muller"
-3.59562326036549,"Karel Lantermans"
-3.59562170667568,"J. Hoeksma"
-3.59556593583286,"Henri Bakels"
-3.58982308270011,"Joseph Bittremieux"
-3.58487846058989,"F. den Eerzamen"
-3.58482922183141,"Is.P. de Vooys"
-3.57946654613511,"H.M. van Nes"
-3.57945878227296,"D.Th. Jaarsma"
-3.57945725643024,"Johan Christiaan van Eerde"
-3.57833752825226,"Eugène van Itterbeek"
-3.5759849715189,"Willem van den Berg"
-3.57413662220291,"K. Kooiman"
-3.57410663825581,"Jan L. Walch"
-3.57408661330502,"C.M. van Hille-Gaerthé"
-3.57408236134199,"J.W. Marmelstein"
-3.56871044615554,"J.H. Kramers"
-3.56810934787281,"Max B. Teipe"
-3.5641368826592,"A.C. Zijderveld"
-3.56335786746514,"W.J.M. Mulder"
-3.56334168823386,"W.E. van Wijk"
-3.56334008378555,"Teatse Eeltsje Holtrop"
-3.56299351048066,"Jacques Schreurs"
-3.55796696816897,"Ferrad Whaley Hudig"
-3.55764833380131,"Henk Kuitenbrouwer"
-3.55764687460544,"Jos. van der Kolk"
-3.55265263410967,"W. van den Ent"
-3.55262467590385,"Henriette Geerling"
-3.55259883585956,"C.A. Verrijn Stuart"
-3.55259732550416,"C. de Boer"
-3.55225433741638,"J.A. Goris"
-3.54724683750509,"H.E. Knappert"
-3.54723745136956,"Herman Vos"
-3.54181341233678,"F.K.M. Mars"
-3.54153554467392,"Hendrik Andriessen"
-3.54152192540853,"Stan Dietvors"
-3.54143129330029,"W.A.M. de Vroomen"
-3.53650902477224,"Herman van Puymbrouck"
-3.53650751785522,"Johan Schmidt"
-3.53650706873726,"Jan Campert"
-3.53650661969872,"Eva Raedt-de Canter"
-3.53650485721886,"J. Bierens de Haan"
-3.53650334806396,"J.C. Bloem"
-3.53410149361736,"S.J. Lenselink"
-3.53113090349293,"A.C. Kersbergen"
-3.53112966634272,"Jan Carel de Haan"
-3.53089197401067,"Luk Adriaens"
-3.5307958474306,"J.B. Stolte"
-3.53079576327009,"Vic Reinders"
-3.53078400591461,"Maurits Sabbe"
-3.52576259470937,"Leo Plemp van Duiveland"
-3.52187342066982,"Joris Gerits"
-3.52039430928727,"Dirk Wiersma"
-3.52039367051343,"A.N.J. den Hollander"
-3.52006413905951,"Henrik Scholte"
-3.51506209290112,"N. van der Laan"
-3.5150236670017,"J.Ph. Vogel"
-3.51469777211212,"Cola Debrot"
-3.51468521992677,"Th. De Ronde"
-3.51468378129989,"Urbain van de Voorde"
-3.51468234315916,"Stephanus G. Axters"
-3.51468229774323,"Louis Knuvelder"
-3.51018184925745,"Wouter Donath Tieges"
-3.50984714865214,"Jeanette van der Valk"
-3.50969652075068,"E. Verstraelen"
-3.50965521386672,"Hermanus Arnoldus Idema"
-3.50965382568295,"H.A.C. Snethlage"
-3.50932909516361,"Jan van Gelder"
-3.5043285699406,"Juliaan Vervoort"
-3.50432794076295,"Edw. De Schaepdrijver"
-3.50429930737533,"Jacobus Funke"
-3.50428664717148,"Sofia Antoniadis"
-3.50428515714365,"Siegfried E. van Praag"
-3.50396076684404,"Constant van Wessem"
-3.50395933312656,"Maurice Roelants"
-3.4989531279527,"D. Haagman"
-3.49891365448269,"Marie van Dessel-Poot"
-3.49858077816042,"Anton Van de Velde"
-3.49359134692507,"Émile O.J.J.G. Lousse"
-3.49354859512672,"F.W. Prins"
-3.48822771406836,"H. Thielemans"
-3.48786061780558,"Frans van Cauwelaert"
-3.4861681823423,"Maarten van Buuren"
-3.48283010790407,"Jan P.M.L. de Vries"
-3.48281499040975,"H. Drion"
-3.48249766059078,"Hubert Cuypers jr."
-3.47748382989731,"Jacob Hiegentlich"
-3.47744849372225,"Tobie Goedewaagen"
-3.47208666763303,"A.N. Molenaar"
-3.47177313577573,"Otto Dijk"
-3.47176223986397,"August Corbet"
-3.46982235479495,"Tessel Pollmann"
-3.46676778184977,"Antoon Fimmers"
-3.46671946013124,"J.H. Scholte"
-3.46516473688186,"Jaak De Maere"
-3.45761775111592,"R. Blok"
-3.45287764567374,"W.P. Gerritsen"
-3.45008429795038,"Monika van Paemel"
-3.44526321383093,"Th.J.G. Locher"
-3.44524292987046,"J. de Kanter"
-3.44180713637121,"Anne Wadman"
-3.43993945480785,"Wilhelm de Vries"
-3.43991962309704,"Jaap Das"
-3.43991942898623,"Chr. Stapelkamp"
-3.43988991145437,"Josee van Dirickx"
-3.4398755626103,"J.M. Kramer"
-3.43987541253591,"J. Kruseman"
-3.43956455278403,"José de Ceulaer"
-3.43956314554765,"Oskar van der Hallen"
-3.43956173879,"Floris Prims"
-3.43654478851942,"Hans Heestermans"
-3.43653270568296,"Cas Wouters"
-3.4345533799886,"A. van Mourik"
-3.43453006384619,"J. Steur"
-3.43451486426184,"S. Davids"
-3.43450823647376,"R. de Josselin de Jong"
-3.43419458489573,"Paul Lebeau"
-3.43131558043914,"Ina Schermer-Vermeer"
-3.42914787576695,"A.E. Cohen"
-3.42868603850083,"R.Th. van der Paardt"
-3.42567106739066,"Leonard Beuger"
-3.42382162178578,"P.B. van Dalfsen"
-3.42382015903672,"Anthonie Stolk"
-3.42381869676748,"Cornelis Rijnsdorp"
-3.4237897238847,"Casper Höweler"
-3.42378827224175,"Beb Vuyk"
-3.42042490077677,"Wardy Poelstra"
-3.41842402092557,"A.F. Coenen"
-3.41842054288547,"A.H. Luijdjens"
-3.41546248234991,"Ger Kleis"
-3.41309202575288,"A.G. van der Horst"
-3.413069848985,"P.J. Idenburg"
-3.4130633373504,"Jac. de Graaf"
-3.4130611611259,"Eduard Reeser"
-3.4130605706377,"Willem van Maanen"
-3.41305994362557,"Jan G. Elburg"
-3.41305971640061,"C.J. Kelk"
-3.41305912595856,"Carel Swinkels"
-3.4130584988781,"W.A.F. Stokhuyzen"
-3.40769711903447,"J.C.M. Kruisinga"
-3.40769567818747,"P. Hoekstra"
-3.4076941803505,"Christiaan Terpstra"
-3.40495004700796,"Lut Missinne"
-3.40232929466671,"J.L. Snethlage"
-3.40232785434696,"W.J. van Hoboken"
-3.4023275889991,"W.J. van der Molen"
-3.40232615189835,"Josepha Mendels"
-3.40200378526501,"S.A. Vosters"
-3.39699756654414,"René Gaspar"
-3.39696032364708,"Louis Saalborn"
-3.3944405412217,"C.F. van Beusekom"
-3.39164044809487,"Jan Das"
-3.39163162104531,"J.D.P. Warners"
-3.39127374462944,"Lode Wils"
-3.38626608002213,"M.A. Kerckhove"
-3.3862548057799,"Dirk Coster"
-3.38392373465609,"Marjoleine de Vos"
-3.38391867593842,"Arjen Mulder"
-3.38391518307964,"Dirk van Weelden"
-3.38085940907019,"John den Admirant"
-3.37553721912417,"J. van der Steen"
-3.37016360772275,"Maurits Dekker"
-3.37014789745903,"Tjalie Robinson"
-3.37014647514655,"E.W. Beth"
-3.37014045238603,"Willem van Elden"
-3.36982439631392,"S. Dresden"
-3.36481268200244,"J.C. Brandt Corstius"
-3.36476883809123,"Cornelia Brinkman"
-3.36476742168835,"Margaretha Ferguson"
-3.35946305081317,"Anton B. Lam"
-3.35943282981321,"F.K.H. Kossmann"
-3.35941491262724,"Ernst van Raalte"
-3.35909601817445,"J.C. Opstelten"
-3.35409877452848,"Dingeman van der Stoep"
-3.35409734280705,"Marianne Colijn"
-3.35409591155798,"J.F.M.J. Jansen"
-3.35409012252374,"Karel Reijnders"
-3.35405265115418,"Jakobus Kloek"
-3.35404335345617,"Paul van der Loeff"
-3.3487388070075,"F. Jansonius"
-3.34867925804186,"W.G. Wolters"
-3.34334161471797,"Th. Weevers"
-3.34332134571354,"Helen Knopper"
-3.34300782226825,"Frank C. Maatje"
-3.34300646695756,"B.W. Schaper"
-3.33797791264992,"Paul Haimon"
-3.33795764706171,"Jan J. Klant"
-3.33259414262316,"A.J. Westerman Holstijn"
-3.33259381665719,"Arend Heyting"
-3.33259274535069,"K. Zickhardt"
-3.3325924192344,"Jan Rogier"
-3.33228322252649,"H.P.H. Teesing"
-3.32728245190517,"C.M. Geerars"
-3.32728103437861,"C.A. Zaalberg"
-3.32725249999809,"H.H.J. de Leeuwe"
-3.3269223287082,"J. Kamerbeek jr."
-3.31654790302608,"Paul de Wispelaere"
-3.31654412352018,"Jaap de Rooij"
-3.31114805856491,"O.J. de Jong"
-3.30547290863613,"Erik Zürcher"
-3.30048263364959,"Henri Bossaert"
-3.30044808276859,"Martin Hartkamp"
-3.30042347642765,"A.J. Dunning"
-3.3004220971398,"P. Hirschler"
-3.29505995904233,"Marcel van der Linden"
-3.29505697843791,"Fred Bornstein"
-3.29505560399604,"W.F. Wertheim"
-3.28938259116324,"J. Goossens"
-3.28440203879385,"Karel Porteman"
-3.28438339623137,"R.L.K. Fokkema"
-3.27902561397177,"Domien ten Berge"
-3.2733058786196,"A. Kibédi Varga"
-3.26830865961337,"Jan Vanriet"
-3.26826243802547,"Pieter Lukkenaer"
-3.25760437071522,"Arie Zevenhuijzen"
-3.25754401298757,"L.I. Graf"
-3.25722391356403,"A. Sassen"
-3.25224381040378,"F. Veenstra"
-3.25220919584913,"E.J. van den Broecke-de Man"
-3.2521847466521,"A.M.J. de Keijser"
-3.25218339200652,"Rien Goettsch"
-3.24688344688248,"Maarten Klein"
-3.24688206936005,"Michel Dupuis"
-3.24687269607712,"Marc Reynebeau"
-3.24682819953386,"Aleid Truijens"
-3.24650433475403,"P.F. Schmitz"
-3.24152190243702,"Annie Verhaeghe"
-3.24151284003082,"J.H. Winkelman"
-3.2414637427548,"Fenna van den Burg"
-3.24115032035511,"Toine Hovens"
-3.23614997992198,"Tini Booij"
-3.23610372904645,"M.E. 't Hart"
-3.23610238478172,"Hugo Pos"
-3.23578553851075,"Ernst van Alphen"
-3.23079020467182,"Dieuwke E. van der Poel"
-3.23074737316273,"E. Braches"
-3.2307473522723,"Marietta Ioannidou"
-3.23074733111674,"Salvador Hertog"
-3.23074598836939,"H.B.G. Casimir"
-3.23042578817925,"Peter V. Zima"
-3.22543193217245,"W.F.G. Breekveldt"
-3.22541298957527,"H.L. Wesseling"
-3.22538773616821,"E.M. Beekman"
-3.22538682239699,"Kester Freriks"
-3.22538639657529,"E.H. Kossmann"
-3.22538548357251,"Frans Kusters"
-3.22538318272683,"Salvador Bloemgarten"
-3.22007255218796,"Wilbert Smulders"
-3.22002513150682,"P.H.J.T. Ververgaert"
-3.22002379694455,"M.J. Trappenburg"
-3.21971890701429,"Dirk de Geest"
