"coefficient","Author"
-2.06677758742068,"Pieter Leendertz Wz."
-2.0364076594695,"H.W. de Graaf"
-2.00626131719494,"Gerardus Arnoldus Nicolaus Allebé"
-1.99618954651851,"Wilhelm Christiaan Knottenbelt"
-1.91650329313043,"H.W. Schroeder van der Kolk"
-1.90665482344343,"A. Quak"
-1.896744748056,"M.W.C. Gori"
-1.88689035196723,"J.J. Cornelissen"
-1.85742533922357,"Cornelius Marius Kan"
-1.85742532057337,"Samuel van Houten"
-1.8281114716009,"J. Pijnappel"
-1.81837388325189,"W.K. van Dedem"
-1.80865431633185,"W.B.G. Molkenboer"
-1.77969625086228,"G.A. van Hamel"
-1.77963697076906,"M. van Andelst"
-1.76994846308449,"L.A.J. Burgersdijk"
-1.76057894562085,"H. Koekebakker"
-1.76031502635434,"Lodewijk Willem Ernst Rauwenhoff"
-1.74110584499111,"J.W. van der Linden"
-1.71242154158214,"Jan Six"
-1.71242088202195,"Henri David Levyssohn Norman"
-1.71242042889312,"Willem Pieter Cornelis Knuttel"
-1.70293414708499,"Charles François van Duyl"
-1.70293405975867,"J.D. de Jong"
-1.68390218040823,"Emile Seipgens"
-1.63678870124247,"Philippe Zilcken"
-1.63675232478598,"P.W.A. Cort van der Linden"
-1.63674902347944,"August Gittée"
-1.62744818508662,"Philippus Samuel van Ronkel"
-1.62737663196295,"C. Winkler"
-1.62737611925851,"Nicolaas Dirk Doedes"
-1.60872275998418,"B.D. Eerdmans"
-1.60868656173554,"Joh. H. Been"
-1.60382318617568,"Foeke Buitenrust Hettema"
-1.597548074969,"F.S. van Nierop"
-1.59014834565977,"Gerrit van Gorkom"
-1.59007642115239,"L.E. Visser"
-1.58332254374721,"Anna Ekker"
-1.58087276709905,"Bas Veth"
-1.58080121171236,"M.J. Pijnappel"
-1.58080116639857,"D. Simons"
-1.57162279955628,"Mimosa"
-1.5716222792422,"Jan Kalf"
-1.57158169333627,"Johannes Hasselman"
-1.57154595518239,"Bernard Gewin"
-1.57154594732359,"Willem Frederik Andriessen"
-1.56571291535477,"Tiberius Cornelius Winkler"
-1.56240383303105,"Marie Metz-Koning"
-1.56238678927909,"Jan Kornelis de Cock"
-1.56238664179611,"Jan Stuyt"
-1.56238659450803,"Adolf Rutten"
-1.56231020626143,"E. van Hille"
-1.55317109701905,"Omer Karel de Laey"
-1.55312996951655,"Dan. Engelen"
-1.543969678589,"C.B. Hylkema"
-1.54388147399395,"Marie Snijder van Wissenkerke"
-1.53483572375482,"Karel Elebaers"
-1.53480041088239,"Stephanie Vetter"
-1.5348003993399,"P.J. Stinissen"
-1.5348003877976,"E.J. Mertens"
-1.53475849162106,"Hélène Mercier"
-1.53470456034188,"L.H. Slotemaker"
-1.53028901331756,"S.G. de Vries"
-1.52927298194592,"H. Kern"
-1.52923900726035,"A. Dupont"
-1.52564571801831,"Julie van der Lans-Russel"
-1.52564550061169,"L. Noël"
-1.52564548928874,"A.M. van Kersbeek"
-1.52556868401971,"H.J. Hamburger"
-1.52556861925585,"G.A. van den Bergh van Eysinga"
-1.52556860915391,"Jozef Israëls"
-1.52555166998257,"Fokko Bos"
-1.51696838985987,"J. Eigenhuis"
-1.51657441835797,"J.H. Deibel"
-1.51654648432794,"J.-J. Symoens"
-1.51651134122157,"Gabriël Verborght"
-1.5164337628971,"Martinus Poelhekke"
-1.51641743517331,"Jan Fabricius"
-1.50741253126501,"Margaretha Meijboom"
-1.5073977514565,"A. Taelman"
-1.50739766295505,"P. Soens"
-1.50732019982006,"C. te Lintum"
-1.50732019012297,"G. Polvliet"
-1.50729402510562,"Theo Thijssen"
-1.5058752549778,"Gideon Busken Huet"
-1.50428051411108,"J.D. van der Waals"
-1.49910364088297,"Gerrit Simons"
-1.49822684322114,"H.G. van der Waals"
-1.49820861857529,"A.P.Th. Eyssell"
-1.49820092854364,"Antonie de Vletter"
-1.48933721916555,"Aug. Bruijnseels"
-1.48926766571571,"Leo van Riel"
-1.48926762428652,"Cyriel de Baere"
-1.489232921164,"Leo van Puyvelde"
-1.48922406336357,"J.J. Tesch"
-1.48915456460411,"Arthur van Schendel"
-1.48368542713031,"Frederik van Eeden"
-1.4804685740244,"William Davids"
-1.48038877625797,"Nicolaas Japikse"
-1.48019529690667,"J.H. Holwerda"
-1.48013820219329,"J.H.F. Kohlbrugge"
-1.48011246944367,"Lodewijk Makeblijde"
-1.48008513467806,"J.C. Jansen"
-1.47582734931008,"Ivo Cornelis"
-1.47533641323801,"H.Y. Groenewegen"
-1.4712210028861,"C. van Malten"
-1.47118642424751,"Aug. Bruynseels"
-1.47115187258902,"Raphael Ligtenberg"
-1.46230100829912,"J.A. vor der Hake"
-1.46214297861867,"Floris Prims"
-1.46206400601004,"Leonie van Nierop"
-1.46204680477676,"Henricus"
-1.46171218675502,"D. Logeman-van der Willigen"
-1.45321354956549,"C. Pekelharing"
-1.45314491833271,"G.J. Hoogewerff"
-1.45307626386103,"J. de Wit"
-1.4530762553503,"C. Kramer"
-1.45307621506527,"H.G. van der Vies"
-1.45307620654954,"A.W. van Renterghem"
-1.44985744732591,"P. Janssens"
-1.44828863568865,"Ina Boudier-Bakker"
-1.44417841047946,"J. Everts"
-1.44412557032554,"G.E.W. van Hille"
-1.44410992440189,"Joseph Loopuit"
-1.44408382629292,"F.P.H. Prick van Wely"
-1.43822531275592,"A.H. Blaauw"
-1.43571058488814,"Herman Poort"
-1.43519911389121,"P.H. van Moerkerken jr."
